area_id,area_name,latitude,longtitude,address,custno
66,군산 연도 검은바위,35.9716,126.5078,전라북도 군산시 연도 검은바위,
67,군산 개야도 부도,35.9675,126.4873,전라북도 군산시 개야도 부도,
68,군산 십이동파도 작은 쌍섬,35.9657,126.5395,전라북도 군산시 십이동파도 작은 쌍섬,
69,옥구군 비안도,35.9652,129.4117,전라북도 옥구군 비안도,
70,군산 십이동파도 덜컥바위,35.9609,126.7255,전라북도 군산시 십이동파도 덜컥바위,
71,김대중대교,35.9568,126.6956,전라남도 신안군 압해읍 복룡리,
72,군산 어청도 동받이,35.9466,126.4688,전라북도 군산시 어청도 동받이,
73,군산 죽도 앞 쥐섬,35.9389,126.4604,전라북도 군산시 죽도 앞 쥐섬,
74,어청도방파제,35.9338,126.4583,전라북도 군산시 옥도면 어청도리,
75,고군산군도 만자여,35.924739,126.452406,전라북도 군산시 옥도면 대장도리 만자여,
76,연도항방파제,35.9194,126.4119,전라북도 군산시 옥도면 연도리,
77,고군산군도 명도,35.915741,126.419072,전라북도 군산시 옥도면 대장도리 명도,
78,관리도방파제,35.8817392,126.2929269,전라북도 군산시 옥도면 관리도리,
79,말도방파제,35.879261,126.403863,전라북도 군산시 옥도면 말도리,
80,명도방파제,35.8755935,126.2699605,전라북도 군산시 옥도면 명도리,
81,야미도선착장,35.8751248,126.2771905,전라북도 군산시 옥도면 야미도리,
82,가란대교,35.8709,128.6222,전라남도 신안군 압해읍 분매리,
83,무녀도선착장,35.8585413,126.3864143,전라북도 군산시 옥도면 무녀도리,
84,계원2리 등대,35.8534,129.5256,경상북도 포항시 남구 장기면 계원리 산195,
85,부안 위도 중조도,35.8518,126.3528,전라북도 부안군  위도 중조도,
86,송대말등대,35.8064,129.512,경상북도 경주시 감포읍 오류리 583-4,
87,감포항 석벽,35.8046,129.5051,경상북도 경주시 감포읍 감포리 504-39,
88,감포방파제,35.8037,129.5083,경상북도 경주시 감포읍 감포리 504-45,
89,부안 위도 용머리,35.7817,126.4464,전라북도 부안군  위도 용머리,
90,격포 식도 노랑부리,35.7643,126.7148,전라북도 부안군 격포 식도 노랑부리,
91,부안 위도 칼바위,35.7467,126.5754,전라북도 부안군  위도 칼바위,
92,격포 왕등도 대구섬,35.7257,126.7265,전라북도 부안군 격포 왕등도 대구섬,
93,부안 격포 노은여,35.7136,126.6021,전라북도 부안군 격포 노은여,
94,계화방조제,35.710011,126.680098,전라북도 부안군 계화면 계화리,
95,부안 위도 파장금 서방파제,35.7006,126.5188,전라북도 부안군  위도 파장금 서방파제,
96,부안 하왕등도,35.6406,126.5937,전라북도 부안군  하왕등도,
97,격포방파제,35.6248,126.5569,전라북도 부안군 변산면 격포리 ,
98,정자 판지,35.6137,129.458,울산광역시 북구 구유동 308-3,
99,울산 우가포,35.612,129.4584,울산광역시 북구 구유동 234-5,
100,당사방파제,35.5832,129.4583,울산광역시 북구 당사동 378-3,
